rel_error,compression_ratio,mean,median,p90,p99,p999,wasserstein,max,p99_sym
6.15000000e-06,3.18159000e+02,1.06212511e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.31768228e+01,3.25386627e+01,3.21403174e+01,0.00000000e+00
4.95135191e-06,2.58564000e+02,7.00192384e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.58367096e+01,2.26406580e+01,2.67581763e+01,0.00000000e+00
3.98632288e-06,2.29648000e+02,7.05882353e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,1.75767299e+01,1.00000000e+00,0.00000000e+00
3.20938006e-06,1.86321000e+02,2.35294118e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.76000000e-01,2.06265967e+01,1.00000000e+00,0.00000000e+00
2.58386505e-06,1.58072000e+02,4.70588235e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,2.15331820e+01,1.00000000e+00,0.00000000e+00
2.08026425e-06,1.32646000e+02,7.05882353e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,1.84254621e+01,1.00000000e+00,0.00000000e+00
1.67481632e-06,1.17411000e+02,2.35294118e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.76000000e-01,1.75278986e+01,1.00000000e+00,0.00000000e+00
1.34839105e-06,9.60069000e+01,4.70588235e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00,1.43766478e+01,1.00000000e+00,0.00000000e+00
1.08558677e-06,8.69994000e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.35388800e+01,0.00000000e+00,0.00000000e+00
8.74003595e-07,7.42939000e+01,2.35294118e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.76000000e-01,1.18203632e+01,1.00000000e+00,0.00000000e+00
7.03658433e-07,6.36975000e+01,2.35294118e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.76000000e-01,1.00112005e+01,1.00000000e+00,0.00000000e+00
5.66513906e-07,5.46209000e+01,2.35294118e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.76000000e-01,8.05698585e+00,1.00000000e+00,0.00000000e+00
4.56099140e-07,4.68153000e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.88614353e+00,0.00000000e+00,0.00000000e+00
3.67204446e-07,4.03867000e+01,2.35294118e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.76000000e-01,3.93617453e+00,1.00000000e+00,0.00000000e+00
2.95635518e-07,3.49175000e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.74012000e+00,0.00000000e+00,0.00000000e+00
2.38015526e-07,3.02765000e+01,2.35294118e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.76000000e-01,3.00095047e+00,1.00000000e+00,0.00000000e+00
1.91625793e-07,2.63869000e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.17447059e+00,0.00000000e+00,0.00000000e+00
1.54277518e-07,2.30191000e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.19691765e+00,0.00000000e+00,0.00000000e+00
1.24208501e-07,2.01869000e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.57667765e+00,0.00000000e+00,0.00000000e+00
1.00000000e-07,1.77907000e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00051294e+00,0.00000000e+00,0.00000000e+00
